gene,outcome,gsmr_beta,gsmr_se,gsmr_pval,gsmr_nsnp,heidi_out,Q_MR_Egger,Q_Inverse_variance_weighted,Q_df_MR_Egger,Q_df_Inverse_variance_weighted,Q_pval_MR_Egger,Q_pval_Inverse_variance_weighted,nsnp,b_MR_Egger,b_Weighted_median,b_Inverse_variance_weighted,b_Simple_mode,se_MR_Egger,se_Weighted_median,se_Inverse_variance_weighted,se_Simple_mode,pval_MR_Egger,pval_Weighted_median,pval_Inverse_variance_weighted,pval_Simple_mode,r2_exposure,r2_oucome,correct_dir,steiger_pval,H3,H4,causal_snp,pleiotropy_egger_intercept,pleiotropy_se,pleiotropy_pval,mrpresso_pval,adjp_MR_Egger,adjp_Weighted_median,adjp_Inverse_variance_weighted,adjp_Simple_mode,is_candidate
FAM20B,T2D_GSMR,-0.0663326,0.0189714,4.71486e-4,6,0.0045151101172901924,14.8749,16.45544,5,6,0.0109105,0.0115074,7,-0.0207324,-0.0534901,-0.0609861,-0.101642,0.0614515,0.0187543,0.0258769,0.0442199,0.7495339,0.0043425,0.0184341,0.0612215,0.0283965,4.24e-5,TRUE,0,0.999816658552974,1.77659865911077e-6,rs1220,-0.0058086,0.0079691,0.4987645,0.071,0.857149496,0.007475951276102088,0.027005137611056267,0.1815879045725646,FALSE
FAM212A,T2D_GSMR,-0.130478,0.025293,2.48711e-7,6,6.621399573033708e-6,8.857133,10.043345,4,5,0.0647714,0.0740164,6,-0.1782466,-0.1584989,-0.1260061,-0.161447,0.0773686,0.0283671,0.0284393,0.0594828,0.0825875,0,9.4e-6,0.0420658,0.0172862,8.15e-5,TRUE,0,0.971664494613677,0.028335365527183,rs9871654,0.0063721,0.008706,0.50479,0.171,0.29429804666666665,0,5.717049180327869e-5,0.1613065819121447,FALSE
FAM215B,T2D_GSMR,-0.024464,0.00651721,1.74206e-4,8,0.0019974637118644065,37.80963,43.95362,7,8,3.3e-6,6e-7,9,-1.893e-4,-0.0200521,-0.0259877,-0.0623775,0.0268914,0.006653,0.0118494,0.0221451,0.9945808,0.0025783,0.028296,0.0226062,0.2650313,9.7e-5,TRUE,0,0.988747746708957,1.2591378535682e-4,rs17698176,-0.0106944,0.0100273,0.3215811,0.001,0.9985571107505072,0.004956213989637305,0.038383239488117005,0.13692898285714286,FALSE
FAM21C,T2D_GSMR,0.0157932,0.00522284,0.00249569,12,0.017053881666666666,29.92183,34.36244,11,12,0.00163,5.912e-4,13,-0.0020351,0.0186663,0.0189549,0.0156179,0.0182096,0.0065716,0.0080594,0.0100425,0.9130258,0.0045054,0.0186777,0.1458706,0.3066115,6.77e-5,TRUE,0,0.0130727084428622,0.0018314782303086,rs35267807,0.0089287,0.0069882,0.2276668,0.005,0.9548486872445384,0.007711836216839677,0.027308085517241378,0.2636686606577345,FALSE
FAM221B,T2D_GSMR,-0.0547555,0.0170275,0.00130125,5,0.010270115625000001,3.121999,3.437557,2,3,0.2099262,0.3289516,4,-0.0718867,-0.0612378,-0.0562329,-0.0638567,0.0400762,0.0165236,0.017005,0.029134,0.214712,2.105e-4,9.436e-4,0.1160554,0.0270759,2.13e-5,TRUE,0,0.998754450326021,2.2473637996586e-4,rs13294245,0.0030256,0.0067292,0.6970196,0.48,0.45978702139800287,6.426603696098563e-4,0.002474556890459364,0.23484481467391305,FALSE
FAM53A,T2D_GSMR,0.0298117,0.00930956,0.00136351,11,0.010637399678747942,94.94968,98.70649,11,12,0,0,13,0.0338856,0.0245714,0.0165803,0.0455522,0.0345553,0.0098994,0.0219584,0.0280793,0.3478562,0.0130605,0.4502036,0.1307069,0.1013376,1.385e-4,TRUE,0,0.999999997986947,6.9552896698167394e-12,rs811316,-0.0048477,0.0073481,0.5230063,<0.001,0.5868363587301587,0.01885387354085603,0.4649284219902575,0.24620857794676804,FALSE
FAM76B,T2D_GSMR,0.0187059,0.00674719,0.00556444,29,0.03169020519542995,26.78195,33.53149,29,30,0.5834684,0.2999475,31,0.0042309,0.019073,0.0261598,0.011426,0.0101207,0.008568,0.0059036,0.0167919,0.6789897,0.0260096,9.4e-6,0.501439,0.2070498,7.41e-5,TRUE,0,0.0808352502476059,0.0331136213402045,rs3748256,0.0055398,0.0021323,0.0145833,0.297,0.8073883932692308,0.034279082060390764,5.717049180327869e-5,0.593231187569721,FALSE
FAM86B3P,T2D_GSMR,-0.107538,0.0209726,2.9355e-7,5,7.70141842105263e-6,7.106922,9.435419,3,4,0.0685668,0.0510913,5,-0.0535868,-0.1451982,-0.1059796,-0.1270801,0.05926,0.0260787,0.0267574,0.0397079,0.4325106,0,7.47e-5,0.0328891,0.0244899,6.19e-5,TRUE,0,0.999746581687032,2.5339830187445e-4,rs1878561,-0.0082848,0.0083565,0.3945653,0.214,0.647515575,0,3.222523255813953e-4,0.14717257108433734,FALSE
FAM86B1,T2D_GSMR,-0.0398238,0.0114553,5.08082e-4,5,0.004816861483483483,4.992085,22.846571,4,5,0.2881106,3.611e-4,6,-0.0089469,-0.0492863,-0.0538487,-0.103307,0.0157366,0.01223,0.0197661,0.0326755,0.6000676,5.58e-5,0.0064438,0.0250498,0.1250857,8.74e-5,TRUE,0,0.999999995333638,3.78035068117562e-11,rs74706719,-0.0134474,0.0035553,0.019396300000000002,0.121,0.7521117554054054,2.1452642487046632e-4,0.011448988995215311,0.14120205839416058,FALSE
FANCL,T2D_GSMR,0.0478322,0.0182645,0.00882246,6,0.04548585664670659,9.775149,12.679191,3,4,0.0205774,0.0129545,5,0.1106813,0.0230727,0.0484992,0.0163242,0.0721862,0.0235895,0.029133,0.0419252,0.2227471,0.3280291,0.0959628,0.7168474,0.0289888,2.85e-5,TRUE,0,0.9999921318445,2.10435312440863e-6,rs62140575,-0.0131884,0.0139699,0.4147852,0.046,0.46652543582510575,0.340654432750175,0.11135035621579359,0.7816322862601028,FALSE
FANCG,T2D_GSMR,-0.0565552,0.0180604,0.00173947,6,0.012820638420233461,9.49842,14.03774,5,6,0.0907606,0.0292174,7,-0.024323,-0.0674447,-0.0626921,-0.1173634,0.0324198,0.0230303,0.0231444,0.0412626,0.4868856,0.0034058,0.0067538,0.0294004,0.031062,4.21e-5,TRUE,0,0.0502348577793858,6.4517660182435e-4,rs4879852,-0.0062508,0.0040437,0.1828159,0.097,0.6881316479999999,0.006186300122399021,0.011852879905437354,0.14495080930232557,FALSE
FARP1,T2D_GSMR,-0.0710506,0.0158472,7.34393e-6,9,1.345345474468085e-4,12.27583,13.16502,8,9,0.1393148,0.1552802,10,-0.0892992,-0.0736559,-0.0687891,-0.0935658,0.0312259,0.0148319,0.0154105,0.0279315,0.0211586,7e-7,8.1e-6,0.0085259,0.0415877,5.68e-5,TRUE,0,0.971057015379447,0.026426623279251,rs12463,0.0036963,0.0048557,0.4683604,0.295,0.16581044421052632,4.9942307692307696e-6,5.158969957081545e-5,0.09732642769230769,FALSE
FBRSL1,T2D_GSMR,0.0571367,0.0134866,2.26987e-5,12,3.5475146485148515e-4,95.37432,113.12336,12,13,0,0,14,-0.0752038,0.0498395,0.0266362,0.0749798,0.0733329,0.0148921,0.0283388,0.0236322,0.3253505,8.178e-4,0.3472591,0.0073425,0.0872621,1.619e-4,TRUE,0,1,5.6940606102151305e-21,rs80182741,0.0189239,0.0126634,0.1608991,<0.001,0.5692424734982332,0.001973358048780488,0.3626548236453202,0.09005181818181818,FALSE
FASN,T2D_GSMR,0.0213775,0.00807719,0.00812931,17,0.042915079621169916,34.32969,37.14116,16,17,0.0049035,0.00322,18,0.0397696,0.023052,0.0185374,0.0259124,0.0205439,0.0083486,0.0089127,0.0143834,0.0707599,0.0057595,0.0375365,0.0893783,0.1899506,6.28e-5,TRUE,0,0.0126804397897639,0.00710301357262788,rs35038106,-0.00698,0.0060976,0.269169,0.01,0.2770651493403694,0.009498589333333333,0.04850458520452567,0.20692261653666147,FALSE
FARSA,T2D_GSMR,-0.225629,0.0236994,1.72461e-21,6,6.533512524e-19,12.28111,15.2883,3,4,0.0064797,0.0041391,5,-0.1416199,-0.2171977,-0.2302697,-0.179797,0.1104629,0.0247862,0.0374705,0.0668871,0.2899179,0,0,0.0547677,0.0182269,2.14e-4,TRUE,0,0.101809947638476,0.898190052361521,rs2900660,-0.0119175,0.0139048,0.4544102,0.176,0.5411800800000001,0,0,0.17441044377682405,FALSE
FBLN7,T2D_GSMR,-0.0876963,0.0260951,7.77611e-4,4,0.006756654844954128,22.17688,27.427,4,5,1.848e-4,4.71e-5,6,-0.0036988,-0.0890884,-0.088541,-0.1392969,0.1017347,0.0290722,0.0521476,0.0628716,0.9727395,0.0021812,0.0895279,0.0775582,0.0139371,5.75e-5,TRUE,0,0.0120852845604101,0.965692882935907,rs12711736,-0.0110086,0.0113128,0.3855986,<0.001,0.9886111401767507,0.004321629906542056,0.10511028765822784,0.19879089879101897,FALSE
FBXL13,T2D_GSMR,-0.0407012,0.00954592,2.01044e-5,12,3.1787775025041734e-4,107.6345,119.4296,12,13,0,0,14,-0.0413629,-0.0488809,-0.0820519,-0.0872684,0.0471028,0.0157272,0.0313518,0.0351442,0.3971094,0.0018832,0.0088671,0.0274466,0.1099577,2.478e-4,TRUE,0,1,7.280826458986959e-19,rs117274931,-0.007793,0.0067958,0.27384,<0.001,0.6260526539278132,0.0038653786998616873,0.014798907174887892,0.14345745555555556,FALSE
FBXO31,T2D_GSMR,0.0506703,0.0132358,1.29048e-4,18,0.0015649341971830984,21.47836,21.81173,17,18,0.2056207,0.2404511,19,0.0367687,0.0303043,0.0497131,0.0264088,0.0296902,0.0206216,0.0153753,0.0328555,0.2323931,0.1416858,0.0012237,0.432008,0.0692465,5.75e-5,TRUE,0,0.0036695616645484,0.0237776192451978,rs62053110,0.0016815999999999999,0.0032736,0.6140927,0.273,0.4809921344490934,0.15574942755555554,0.002948004545454546,0.5324749767441861,FALSE
FBXO41,T2D_GSMR,-0.0683324,0.0183888,2.02418e-4,7,0.0022634012727272726,6.346526,6.639933,5,6,0.2739453,0.3554324,7,-0.0916517,-0.0904169,-0.0723449,-0.0649039,0.0442299,0.0209863,0.0173111,0.0343228,0.0929829,1.64e-5,2.93e-5,0.1075048,0.024751,3.45e-5,TRUE,0,0.0748276970627978,0.547475903489513,rs546576,0.0026658,0.0055446,0.6509682,0.379,0.30312242450765864,7.465521472392638e-5,1.4591006711409395e-4,0.22726085925925923,FALSE
FCGR2B,T2D_GSMR,0.0151861,0.00431848,4.37228e-4,49,0.004282302366080661,65.68236,70.31545,41,42,0.0085185,0.0039959,43,0.0033015,0.014668,0.0151562,0.01798,0.0087115,0.0067904,0.0053411,0.0109884,0.7066561,0.0307636,0.0045447,0.1092546,0.418389,1.114e-4,TRUE,0,0.00588694884267781,0.0143871740369808,rs61803028,0.0038792,0.0022811,0.0965919,0.003,0.8269909837667454,0.039526564848484845,0.00850483581336696,0.22867958589562762,FALSE
FCHO2,T2D_GSMR,0.0283674,0.00581958,1.091e-6,31,2.471976315789474e-5,64.66812,67.57022,31,32,3.67e-4,2.405e-4,33,0.005662,0.0129886,0.0202013,0.0270932,0.014244,0.0089098,0.0071806,0.0193796,0.6937233,0.1449002,0.0049035,0.1717215,0.2748904,1.128e-4,TRUE,0,0.382309190134067,0.518736271335286,rs7713398,0.0039369,0.0033378,0.2471785,<0.001,0.8183818810810811,0.1586951267896679,0.009084636704119851,0.284413734375,FALSE
FCGRT,T2D_GSMR,-0.0521613,0.0138726,1.69899e-4,7,0.0019652902500000005,30.00112,30.62657,7,8,9.49e-5,1.637e-4,9,-0.0760983,-0.065936,-0.064766,-0.0145338,0.0381616,0.0145252,0.0226885,0.0311832,0.0863669,5.6e-6,0.0043094,0.6535869,0.0540241,8.21e-5,TRUE,0,0.967151193670998,0.0282779772631619,rs59774409,0.0022239,0.0058217,0.7137875,0.002,0.2994590644859813,2.9679999999999997e-5,0.008138588295165396,0.7249050520179372,FALSE
FECH,T2D_GSMR,0.0232631,0.00732204,0.00148741,21,0.011415932017828201,45.22673,50.52366,18,19,3.843e-4,1.097e-4,20,0.0037813,0.019533,0.0171563,0.0117061,0.0131555,0.0082576,0.0096621,0.0209479,0.7770658,0.0180074,0.0757925,0.5828125,0.1657912,8.07e-5,TRUE,0,0.0137561919659002,0.0434081466515751,rs1062010,0.004189,0.0028851,0.1637244,0.001,0.8796076637681159,0.02492815447761194,0.0902697191011236,0.6632620782208589,FALSE
FEZ2,T2D_GSMR,0.0167751,0.00486254,5.60888e-4,48,0.005228514023622046,64.2549,64.71578,45,46,0.0311422,0.0356709,47,0.0162865,0.0159776,0.0121475,0.0167133,0.009181,0.0076373,0.0055459,0.0145477,0.0828407,0.0364354,0.0284977,0.2565517,0.4083209,9.74e-5,TRUE,0,0.0547673409507487,0.229423155949022,rs10180760,-0.001084,0.001908,0.5727694,0.034,0.29429804666666665,0.0460171349787234,0.03856575409836066,0.3665580923371648,FALSE
FGFR1,T2D_GSMR,0.0589275,0.0112072,1.45647e-7,9,4.130008194610779e-6,16.56161,16.60549,6,7,0.0110369,0.020125,8,0.0273028,0.0467453,0.0299154,0.0668557,0.0288389,0.0185839,0.0185947,0.0424392,0.380324,0.0118911,0.1076558,0.1591831,0.0748544,5.84e-5,TRUE,0,0.0463246669946005,0.805929396136988,rs10958704,6.031e-4,0.004783,0.9037835,0.128,0.6121483904555315,0.017402753846153845,0.1237499668474051,0.2747965939534884,FALSE
FGFRL1,T2D_GSMR,-0.0633389,0.0141094,7.151e-6,7,1.3202167836257308e-4,27.27022,42.47753,7,8,2.979e-4,1.1e-6,9,-0.1128043,-0.0740172,-0.0441103,-0.0519411,0.0418057,0.0175987,0.0271004,0.0340424,0.0307144,2.6e-5,0.1035961,0.1655776,0.0482632,7.53e-5,TRUE,0,0.500227176733072,0.497208404674572,rs66515989,0.0117428,0.0059435,0.0887366,<0.001,0.19669204655172412,1.108735632183908e-4,0.11954635489891134,0.2804990392694064,FALSE
ZNF35,T2D_GSMR,-0.0735666,0.0119776,8.14773e-10,16,3.801337479310345e-8,14.30418,20.14032,12,13,0.2817071,0.0917662,14,-0.041585,-0.0781492,-0.0788338,-0.0367129,0.0200708,0.0133695,0.0124598,0.0238495,0.0604822,0,0,0.147697,0.0822341,1.107e-4,TRUE,0,0.00172060395692559,0.997882359761881,rs56084453,-0.0074835,0.0033821,0.0470519,0.166,0.256644214084507,0,0,0.2651795223160434,FALSE
FHAD1,T2D_GSMR,0.0528348,0.0160047,9.62731e-4,6,0.008060088731448764,6.43581,9.229732,4,5,0.16888,0.1002444,6,-0.0128002,0.0476696,0.046244,-1.034e-4,0.048366,0.0175126,0.0195063,0.0420864,0.8043552,0.0064884,0.0177533,0.9981347,0.0342535,2.69e-5,TRUE,0,0.0020176390625026,0.00881102013176834,rs763821,0.009137,0.0069338,0.2579889,0.204,0.8941296755056181,0.010523262950819672,0.026188764612326044,0.9981347,FALSE
FIBP,T2D_GSMR,0.104407,0.0129368,6.99994e-16,14,1.0523243133333335e-13,48.232170000000004,48.96492,13,14,6e-6,9.1e-6,15,0.1129643,0.1056603,0.1003546,0.1073564,0.0341952,0.013637,0.0185294,0.0452019,0.005709,0,1e-7,0.0323786,0.0757728,2.057e-4,TRUE,0,0.999999843133095,1.5686692849572e-7,rs693824,-0.0025476,0.0057326,0.6640575,0.001,0.11147573684210527,0,1.1415384615384615e-6,0.14717257108433734,FALSE
FKSG48,T2D_GSMR,0.0240982,0.00707778,6.62213e-4,9,0.006030595502884616,21.38607,21.52655,7,8,0.0032389,0.0058727,9,0.0127605,0.021193,0.0174416,0.018071,0.0239221,0.0073145,0.009182,0.0204119,0.6102536,0.0037627,0.0574937,0.4018101,0.2290182,4.14e-5,TRUE,0,0.999999407909745,3.12115010265912e-8,rs10914641,0.0018244,0.008508,0.83632,0.036,0.7556646719999999,0.006663301670644391,0.07028060197693575,0.5033324752742616,FALSE
FMO5,T2D_GSMR,0.0438042,0.0120682,2.83734e-4,5,0.0029825135560488346,16.82477,16.87471,3,4,7.679e-4,0.0020443,5,0.0334147,0.039984,0.0300244,0.058188,0.0441434,0.0129635,0.0222492,0.0251214,0.504098,0.00204,0.1771896,0.0814694,0.0565569,3.72e-5,TRUE,0,0.48438880871611,0.00939058623784495,rs2354432,-0.0013951,0.0147831,0.9307624,0.029,0.6945974298978644,0.004102113821138212,0.19334512235294116,0.20279419296482412,FALSE
FMNL3,T2D_GSMR,0.0563791,0.0173183,0.00113207,5,0.009219118632846088,9.02161,9.222337,2,3,0.0109896,0.0264763,4,0.0568689,0.0497865,0.0485811,0.0448449,0.0519661,0.0175279,0.0280788,0.0395339,0.3880115,0.0045055,0.0835999,0.3390938,0.026344,2.45e-5,TRUE,0,0.0224065876384519,0.0491697214748625,rs12299505,-0.0019341,0.0091688,0.8524694,0.286,0.6204839073275862,0.007711836216839677,0.09885438374501992,0.44492944226348363,FALSE
FN3KRP,T2D_GSMR,-0.0124594,0.00357367,4.8949e-4,47,0.004663943450704226,83.92141,83.92344,42,43,1.298e-4,1.883e-4,44,-0.0181688,-0.0248768,-0.0183594,-4.498e-4,0.0073789,0.0052196,0.004261,0.012089,0.017992,1.9e-6,1.64e-5,0.9704896,0.605794,1.609e-4,TRUE,0,0.403106922447281,0.0839821232091629,rs2246577,-7.5e-5,0.0023556,0.9747617,<0.001,0.15996364790419162,1.1847058823529412e-5,9.115205992509363e-5,0.9770736542740841,FALSE
FN3K,T2D_GSMR,-0.0404839,0.0109614,2.21354e-4,13,0.002434894,14.88041,15.43207,13,14,0.3148782,0.3492709,15,-0.053734,-0.0569881,-0.0426842,-0.0327836,0.0183893,0.0123267,0.0090383,0.0254596,0.0118942,3.8e-6,2.3e-6,0.2187402,0.0843783,5.37e-5,TRUE,0,0.0336349394451641,0.906829418460123,rs1046896,0.0026961,0.0038836,0.4997571,0.308,0.145875973553719,2.1041791044776118e-5,1.796421052631579e-5,0.32822088655207277,TRUE
FNDC3B,T2D_GSMR,-0.0450474,0.0138695,0.00116238,8,0.009417366107784432,9.111882,14.759189,7,8,0.2447229,0.0640005,9,-0.0273864,-0.0433728,-0.0520638,-0.0949325,0.0181668,0.0150877,0.0163954,0.0372718,0.175414,0.004044,0.0014958,0.0343329,0.042876,4.42e-5,TRUE,0,0.0414005103409758,0.00862042292454408,rs79966944,-0.0055013,0.0026412,0.0757615,0.145,0.4050539919129082,0.0070247873684210526,0.003479258934169279,0.14985301058823527,FALSE
FOLR3,T2D_GSMR,-0.0109638,0.0037677,0.00361504,48,0.022689227196819085,186.3174,215.5881,47,48,0,0,49,0.0087952,0.0025663,-0.0075616,-0.0064877,0.0087916,0.005081,0.0068205,0.0083424,0.3222366,0.6135032,0.2675794,0.440576,0.5377787,2.938e-4,TRUE,0,1,2.45411663233814e-57,rs146694036,-0.0071646,0.0026366,0.0091851,<0.001,0.5688247876337693,0.6240155920493489,0.28336651868758916,0.539006417147568,FALSE
FPR2,T2D_GSMR,-0.0122911,0.00440666,0.0052838,51,0.030493216900121804,50.77166,51.14023,48,49,0.3648963,0.3896262,50,-0.0125193,-0.0114602,-0.0162595,-0.0103016,0.0076639,0.0062163,0.0042826,0.0100725,0.1088971,0.0652448,1.466e-4,0.3114534,0.3640383,9.84e-5,TRUE,0,0.0532029560203336,0.00168202737161179,rs17694990,-0.0010641,0.0018026,0.5577653,0.375,0.31652096874999996,0.07733489073482429,5.549857142857143e-4,0.41714516750902525,FALSE
FOXN2,T2D_GSMR,0.0202644,0.00699145,0.00375003,14,0.023327203591595534,36.98267,38.3043,17,18,0.0033834,0.0035297,19,0.0345967,0.0201159,0.0242733,-0.0010144,0.0160537,0.0090803,0.0089723,0.0213808,0.0457852,0.0267368,0.0068232,0.9626814,0.1748045,7.15e-5,TRUE,0,0.999470582535567,9.69621272526138e-6,rs79247094,-0.0026825,0.0034416,0.44644,0.006,0.23777208391608393,0.035050716607773855,0.011940599999999999,0.9725113666439756,FALSE
FRG1B,T2D_GSMR,-0.0409428,0.00996225,3.96006e-5,5,5.614629979041917e-4,4.093721,4.861111,4,5,0.3934706,0.4330646,6,-0.0577489,-0.0395905,-0.0424917,-0.0408764,0.0193959,0.0093508,0.0080153,0.0177541,0.0408447,2.3e-5,1e-7,0.0695672,0.109024,4.42e-5,TRUE,0,0.0310389897699414,0.18775970430682,rs6061205,0.0045216,0.0052218,0.4353813,0.558,0.23223576551724137,9.951020408163266e-5,1.1415384615384615e-6,0.19251830129870132,FALSE
FRAT2,T2D_GSMR,-0.0226722,0.00601159,1.62325e-4,35,0.0018909964022140221,63.73786,65.30908,31,32,4.784e-4,4.578e-4,33,-0.0204183,-0.0159788,-0.0330226,-0.0249452,0.0164284,0.0091301,0.007845,0.0191927,0.2232365,0.080096,2.56e-5,0.2029802,0.2089818,1.347e-4,TRUE,0,0.999999969987585,1.59358328926652e-11,rs11189165,-0.0031412,0.0035934,0.388743,<0.001,0.4665957267605634,0.0927888087431694,1.3100137931034483e-4,0.3105387802061855,FALSE
FTSJ2,T2D_GSMR,0.0639043,0.018947,7.4412e-4,7,0.0065742169029850755,63.69625,83.39196,7,8,0,0,9,-0.0163595,0.0532416,0.0923863,0.0808188,0.0847696,0.0177199,0.0444198,0.0269518,0.8524488,0.0026592,0.0375397,0.017107,0.0363082,1.711e-4,TRUE,0,1,3.73554344874902e-18,rs4719462,0.0163278,0.0110982,0.1847029,<0.001,0.919356118604651,0.005089584536082475,0.04850458520452567,0.12778563755868544,FALSE
FTSJ3,T2D_GSMR,-0.0239501,0.00831444,0.00396988,21,0.024320008719275553,98.48658,115.8035,25,26,0,0,27,-0.0719915,-0.0396977,-0.0204436,-0.0033723,0.02883,0.0135812,0.0160088,0.0251675,0.0194691,0.0034667,0.2015942,0.8944384,0.1159543,1.638e-4,TRUE,0,0.999998612926045,1.31903952703097e-8,rs2584607,0.0110944,0.0052916,0.0463098,<0.001,0.1649095,0.006273881463414634,0.2181702816326531,0.9211287894517696,FALSE
FUT7,T2D_GSMR,-0.0187023,0.00678951,0.00587665,23,0.03295308001776199,33.11976,59.25486,25,26,0.128101,2.11e-4,27,-0.044327,-0.0164705,-0.005078,-0.0321989,0.0107774,0.0075798,0.0080922,0.0224114,3.705e-4,0.029785,0.5303247,0.1627236,0.2472778,9.16e-5,TRUE,0,0.266074554851654,0.00630461399137925,rs10732706,0.0113749,0.002561,1.584e-4,0.002,0.0323424705882353,0.038469051348999125,0.5431344753623188,0.2775653131034483,FALSE
FUT10,T2D_GSMR,-0.0151146,0.00455,8.94104e-4,47,0.007567523667560321,62.96526,79.51837,47,48,0.0596995,0.0028485,49,0.0126247,-0.010417300000000001,-0.0214106,-0.0214546,0.0109743,0.0069956,0.0057442,0.0127124,0.2558034,0.1364538,1.935e-4,0.0979588,0.2803636,1.426e-4,TRUE,0,0.439625663292615,0.00507290663311545,rs2732275,-0.010198,0.0029012,9.846e-4,0.001,0.5003484901185771,0.15022065222551925,6.804597156398104e-4,0.21706017303703704,FALSE
FUT8,T2D_GSMR,-0.0405959,0.0109095,1.98305e-4,19,0.0022226587633136096,20.1342,20.73381,20,21,0.4495633,0.4753004,22,-0.052193,-0.0436739,-0.0381866,-0.043919,0.0199051,0.0116733,0.008148,0.0210307,0.0163269,1.83e-4,2.8e-6,0.0491311,0.0963175,5.73e-5,TRUE,0,0.0415515417581871,0.665142678299234,rs8010726,0.0029838,0.0038663,0.449283,0.529,0.15733194545454546,5.717305263157895e-4,2.1199999999999997e-5,0.16608326287015945,FALSE
FXYD7,T2D_GSMR,0.0337234,0.0126642,0.00774729,15,0.04126804476377953,20.38179,20.42828,14,15,0.1185567,0.1561114,16,0.035218,0.0327963,0.0386761,0.0408709,0.0234795,0.0145748,0.0128623,0.0306359,0.1558389,0.0244355,0.002639,0.2020779,0.0578744,4.33e-5,TRUE,0,0.00105666353313918,0.00301836792566744,rs4805110,5.215e-4,0.0029181,0.8607252,0.241,0.38026127725040915,0.03258066666666666,0.005484980392156863,0.3101174804550155,FALSE
G3BP2,T2D_GSMR,-0.0479588,0.00617155,7.78954e-15,47,9.836631112e-13,71.72053,71.72068,42,43,0.0028802,0.0038902,44,-0.0471016,-0.0449317,-0.0470176,-0.0655501,0.0107087,0.008282,0.0059801,0.0190078,7.31e-5,1e-7,0,0.0012733,0.2810407,2.333e-4,TRUE,0,0.269744065199717,0.730251415443175,rs1512740,2.12e-5,0.002231,0.992455,0.008,0.0124656,8.729411764705881e-7,0,0.04352077333333333,FALSE
FZD6,T2D_GSMR,0.0280468,0.00655672,1.88951e-5,31,3.0486455212947193e-4,49.37172,49.85478,29,30,0.0105455,0.0128399,31,0.034446,0.0287988,0.0282627,0.0220885,0.0138815,0.0089564,0.0075212,0.0161815,0.0191273,0.0013025,1.714e-4,0.1823891,0.2642478,1.107e-4,TRUE,0,0.930593027898524,0.0116251019034764,rs1403294,-0.0015373,0.0028861,0.5983178,0.019,0.16388221379310347,0.002876354166666667,6.245166666666666e-4,0.29276881427027024,FALSE
GABBR1,T2D_GSMR,0.0355322,0.0138165,0.0101193,7,0.049916609531249996,10.4954,12.33473,5,6,0.0623553,0.0549047,7,0.0732914,0.030904,0.0404344,0.0232718,0.0392194,0.0180119,0.0173148,0.0304343,0.1206066,0.0862068,0.0195307,0.4734679,0.0514366,3.18e-5,TRUE,0,0.27616975900692,0.0645317214682166,rs9257953,-0.0085974,0.0091844,0.3922025,0.113,0.33329645139664804,0.09917123348837209,0.028276642731707317,0.5703136068181819,FALSE
GALM,T2D_GSMR,-0.0350662,0.0134032,0.00888973,16,0.045757952625,8.66313,9.489421,12,13,0.7314024,0.7350576,14,-0.0188857,-0.0303584,-0.0341625,-0.0407271,0.0203988,0.0149016,0.0115614,0.025252900000000002,0.3727829,0.041624800000000003,0.0031279,0.1307953,0.0722411,2.69e-5,TRUE,0,0.0184494456179932,9.3624787885343e-4,rs6756847,-0.002564,0.0028207,0.3812417,0.781,0.6065897188596491,0.05151893511259383,0.00628970677506775,0.24620857794676804,FALSE
GALC,T2D_GSMR,-0.0405646,0.00996648,4.69924e-5,20,6.516325335285505e-4,20.00123,20.29553,17,18,0.2741664,0.3164296,19,-0.0345652,-0.0351798,-0.0408053,-0.0712233,0.0157945,0.012159,0.0094812,0.0249741,0.0428882,0.003812,1.68e-5,0.0105887,0.081866,5.47e-5,TRUE,0,0.0171431874644423,0.607005534326654,rs28533072,-0.0013547,0.0027087,0.6233881,0.4,0.23748540597014925,0.006726525564803804,9.302686567164178e-5,0.10818763809523808,FALSE
GALNT10,T2D_GSMR,-0.0585639,0.0126906,3.93548e-6,15,7.801785784518829e-5,45.53043,47.29613,14,15,3.34e-5,3.3e-5,16,-0.0752303,-0.0604232,-0.0517106,-0.0572888,0.0376477,0.0155604,0.0196554,0.0281328,0.0654944,1.031e-4,0.0085171,0.0597681,0.0582072,1.109e-4,TRUE,0,0.998273745299896,2.83102113704589e-5,rs7728922,0.0034762,0.0047178,0.4733893,0.001,0.26701563076923074,3.6205390070921987e-4,0.0143466247446084,0.17951483132530122,FALSE
GAS8,T2D_GSMR,-0.0682911,0.0204716,8.50247e-4,6,0.007274335444444445,11.33824,15.41257,4,5,0.0230145,0.0087376,6,0.0020438,-0.0617875,-0.0819923,-0.0487574,0.0764431,0.0215527,0.0318084,0.053257,0.9799508,0.0041464,0.0099462,0.4019198,0.0261825,6.79e-5,TRUE,0,0.987932123729541,2.02409794103e-4,rs45583731,-0.011585,0.009663,0.2967318,0.083,0.9886111401767507,0.007188385046728971,0.016196265350877193,0.5033324752742616,FALSE
